fauteuils;entrees_2021;entrees_2020;proprietaire;part des seances de films Art et Essai;latitude;longitude;num_auto;region_administrative;code_INSEE;population_de_la_commune;departement;num_UU;unite_urbaine;population_unite_urbaine;situation_geographique;ecrans;semaines_d_activite;seances;evolution_entrees;tranche_d_entrees;categorie_Art_et_Essai;label_Art_et_Essai;zone_de_la_commune;nombre_de_films_programmes;nombre_de_films_inedits;nombre_de_films_en_semaine_1;PdM_en_entrees_des_films_francais;PdM_en_entrees_des_films_americains;PdM_en_entrees_des_films_europeens;PdM_en_entrees_des_autres_films;films_Art_et_Essai;PdM_en_entrees_des_films_Art_et_Essai
781;102 911;68 669;CINEARCUEIL                                                     ;5,9;48.810228;2.328168;22636;ILE-DE-FRANCE;94003;21845;94;851;Paris;10909327;02-Petite Couronne;6;32;5 912;49,9;De 100 à 150 000 entrées;NON;;B;99;89;83;20,7;62,7;14,3;2,3;8;4,5
128;4 030;4 116;COMMUNAUTE D AGGLOMERATION ARGENTEUIL BEZONS;78,7;48.946909;2.249331;23301;ILE-DE-FRANCE;95018;110766;95;851;Paris;10909327;03-Grande couronne;1;27;459;-2,1;De 2 à 5 000 entrées;C;RDJP;B;79;56;0;41,1;33,6;16,7;8,6;44;64,8
826;29 559;23 428;COMMUNAUTE D AGGLOMERATION ARGENTEUIL BEZONS;42,1;48.943679;2.24855;23323;ILE-DE-FRANCE;95018;110766;95;851;Paris;10909327;03-Grande couronne;3;32;2 158;26,2;De 20 à 30 000 entrées;C;RDJPPR;B;161;138;32;38,3;41;16,4;4,4;75;32,8
646;86 580;60 803;CINEZEPHYR ASNIERES;45,8;48.906327;2.284046;26662;ILE-DE-FRANCE;92004;86605;92;851;Paris;10909327;02-Petite Couronne;4;32;4 728;42,4;De 80 à 100 000 entrées;C;JPPR;B;132;103;97;49,7;34,4;14,9;1;63;33,5
175;4 543;3 600;LE CENTRE CULTUREL DES PORTES DE L  ESSONNE;53,5;48.7102;2.388137;27573;ILE-DE-FRANCE;91027;35448;91;851;Paris;10909327;03-Grande couronne;1;28;333;26,2;De 2 à 5 000 entrées;C;;B;114;92;0;58;25;16,4;0,6;51;33,8
127;13 653;12 932;ASSOCIATION CINEMA LE STUDIO;68,3;48.910534;2.384966;28264;ILE-DE-FRANCE;93001;87762;93;851;Paris;10909327;02-Petite Couronne;1;32;699;5,6;De 10 à 20 000 entrées;C;JPPR;B;173;116;6;51;25,6;16,7;6,7;84;56,8
789;11 153;11 295;INSTITUT AULNAYSIEN DE DEVELOPPEMENT CULTUREL;59,9;48.940586;2.496291;30164;ILE-DE-FRANCE;93005;86683;93;851;Paris;10909327;02-Petite Couronne;2;27;726;-1,3;De 10 à 20 000 entrées;C;JP;B;176;152;6;62,5;18,6;16;2,8;97;44,9
2590;312 659;273 569;UGC CINE CITE;8,6;48.960325;2.473606;30184;ILE-DE-FRANCE;93005;86683;93;851;Paris;10909327;02-Petite Couronne;14;32;15 790;14,3;De 300 à 450 000 entrées;NON;;B;195;133;132;17,1;66,1;15,5;1,3;22;2,9
418;3 097;4 348;COMMUNE DE BAGNEUX;26,3;48.804045;2.321692;35953;ILE-DE-FRANCE;92007;40946;92;851;Paris;10909327;02-Petite Couronne;1;17;68;-28,8;De 2 à 5 000 entrées;NON;;B;24;14;0;26,9;73,1;0;0;5;12,6
288;17 239;14 047;ASSOCIATION BAGNOLETAISE DU CINEMA;82;48.869237;2.417029;36013;ILE-DE-FRANCE;93006;35546;93;851;Paris;10909327;02-Petite Couronne;2;28;1 135;22,7;De 10 à 20 000 entrées;C;RDJPPR;B;155;109;9;70,5;19,2;6,3;4;86;75,8
189;5 624;4 258;VILLE DE BALLANCOURT SUR ESSONNE                                ;7,3;48.528643;2.388787;37350;ILE-DE-FRANCE;91045;7695;91;91402;Ballancourt-sur-Essonne;35634;03-Grande couronne;1;29;288;32,1;De 5 à 10 000 entrées;NON;;C;61;50;35;47,9;44,2;7,9;0;7;5,8
353;11 229;6 642;COMMUNE DE BEAUMONT SUR OISE;48,5;49.141412;2.283076;45132;ILE-DE-FRANCE;95052;9660;95;459;Persan - Beaumont-sur-Oise;38645;03-Grande couronne;1;32;612;69,1;De 10 à 20 000 entrées;D;JPPR;C;157;122;0;50,9;17;27,3;4,8;61;54,6
292;5 420;3 950;SYNDICAT INTERCOMMUNAL DE GESTION DES ACTIVITES DU CENTRE CULTUR;47,9;48.855732;1.875104;54292;ILE-DE-FRANCE;78062;7763;78;78205;Beynes;8284;03-Grande couronne;1;24;249;37,2;De 5 à 10 000 entrées;NON;;C;80;68;0;58,4;33;8,7;0;33;33,2
598;14 373;9 537;THEATRE PAUL ELUARD;34,5;48.931156;2.207081;54692;ILE-DE-FRANCE;95063;30608;95;851;Paris;10909327;03-Grande couronne;2;32;880;50,7;De 10 à 20 000 entrées;C;JP;B;159;128;9;35,9;50,3;13,2;0,6;56;19,9
447;29 623;23 861;COMMUNE DE BLANC MESNIL;33,7;48.941761;2.457313;57582;ILE-DE-FRANCE;93007;57317;93;851;Paris;10909327;02-Petite Couronne;3;32;1 992;24,1;De 20 à 30 000 entrées;C;JPPR;B;163;136;24;49,7;38,4;10;2;67;20,2
400;5 211;4 922;EST ENSEMBLE;65,2;48.909510;2.436542;59033;ILE-DE-FRANCE;93008;54436;93;851;Paris;10909327;02-Petite Couronne;1;19;294;5,9;De 5 à 10 000 entrées;E;;B;68;50;1;28,4;51,2;20;0,4;33;33,4
300;6 517;8 031;COMMUNE DE BOIS COLOMBES;36,2;48.916548;2.266897;59604;ILE-DE-FRANCE;92009;28706;92;851;Paris;10909327;02-Petite Couronne;1;25;203;-18,9;De 5 à 10 000 entrées;NON;;B;54;33;0;71,6;14,7;12,4;1,3;11;32,7
338;4 607;4 186;COMMUNE DE BOIS D'ARCY;38,2;48.800013;2.023763;59690;ILE-DE-FRANCE;78073;15366;78;851;Paris;10909327;03-Grande couronne;1;20;305;10,1;De 2 à 5 000 entrées;NON;;B;86;82;0;54;37,7;7,6;0,7;34;17,9
114;2 036;1 951;COMMUNE DE BOISSY SAINT LEGER;47,2;48.754035;2.502015;60942;ILE-DE-FRANCE;94004;16541;94;851;Paris;10909327;02-Petite Couronne;1;26;96;4,4;De 2 à 5 000 entrées;NON;;B;63;44;0;45,3;21,7;32,5;0,4;22;38,3
324;18 071;12 659;COMMUNE DE BONDY;52,3;48.901598;2.480089;61504;ILE-DE-FRANCE;93010;54207;93;851;Paris;10909327;02-Petite Couronne;1;32;854;42,8;De 10 à 20 000 entrées;C;JP;B;150;109;4;35,1;49,4;13,1;2,4;59;33,9
